,AM15_G_wav,wavelength,Energy,N_Photons,Jsc_int
1682,0.033599,2405.0,0.5155925155925156,1.8998015642066973e+17,0.06634916776925183
1683,0.033813,2410.0,0.5145228215767634,1.9238512030640288e+17,0.06638188887711953
1684,0.0273,2415.0,0.5134575569358178,1.5629702057488128e+17,0.06641160397756833
1685,0.02659,2420.0,0.512396694214876,1.5317965332336115e+17,0.06643786895887552
1686,0.033078,2425.0,0.511340206185567,1.9173929168986986e+17,0.06646702117779457
1687,0.045099,2430.0,0.5102880658436214,2.6304035379528166e+17,0.06650530053873142
1688,0.014878,2435.0,0.5092402464065708,8.73128366668225e+16,0.06653466908935533
1689,0.043249,2440.0,0.5081967213114754,2.5537724425078048e+17,0.06656327754529756
1690,0.020798,2445.0,0.5071574642126789,1.23564811580446e+17,0.06659478300302198
1691,0.013611,2450.0,0.5061224489795918,8.136262168923974e+16,0.0666117512442309
1692,0.024853,2455.0,0.505091649694501,1.4947547982971635e+17,0.0666307870642323
1693,0.033363,2460.0,0.5040650406504065,2.0188639997723728e+17,0.06665964396691708
1694,0.024148,2465.0,0.5030425963488844,1.4701734822308307e+17,0.06668818273884726
1695,0.016727,2470.0,0.5020242914979757,1.0245792676939714e+17,0.0667085060894638
1696,0.016455,2475.0,0.501010101010101,1.0140518074154731e+17,0.06672504657142109
1697,0.0080395,2480.0,0.5,4.98449e+16,0.06673726880016788
1698,0.0056102,2485.0,0.49899396378269617,3.4994046943318732e+16,0.06674409688442891
1699,0.0035113,2490.0,0.4979919678714859,2.2034470812345544e+16,0.06674866827175799
1700,0.0028772,2495.0,0.4969939879759519,1.8164286719298744e+16,0.06675187767590536
1701,0.0070642,2500.0,0.496,4.486623837473985e+16,0.06675688980263027
1702,0.0015191,2505.0,0.49500998003992014,9706132180889658.0,0.06676121202151979
1703,0.0022163,2510.0,0.4940239043824701,1.4245784091807038e+16,0.06676310149364666
1704,0.0005188,2515.0,0.49304174950298213,3354676007231236.5,0.06676448440386805
1705,0.00037054,2520.0,0.49206349206349204,2410312574921957.0,0.06676493557530558
1706,4.1393e-05,2525.0,0.4910891089108911,270861761106239.03,0.06676514457459376
1707,6.3593e-07,2530.0,0.4901185770750988,4186079999922.769,0.06676516593000865
1708,1.7502e-07,2535.0,0.4891518737672584,1158932701626.1138,0.06676516634337197
1709,3.7716e-07,2540.0,0.4881889763779528,2512253291753.382,0.06676516662616999
1710,5.3758e-11,2545.0,0.48722986247544203,360199503.61876875,0.0667651668189606
1711,2.8222e-13,2550.0,0.48627450980392156,1902150.9383536035,0.06676516681898828
1712,1.0435e-09,2555.0,0.48532289628180036,7074598763.317225,0.066765166819527
1713,3.102e-11,2560.0,0.484375,211542842.87200832,0.06676516682007952
1714,1.5955e-14,2565.0,0.4834307992202729,109444.90884917037,0.0667651668200955
1715,1.5258e-18,2570.0,0.48249027237354086,10.527703075978799,0.06676516682009552
1716,1.0786e-27,2575.0,0.4815533980582524,7.48563699998171e-09,0.06676516682009552
1717,3.8214e-22,2580.0,0.4806201550387597,0.002667584984586368,0.06676516682009552
1718,1.7194000000000001e-34,2585.0,0.4796905222437137,1.2072444338589767e-15,0.06676516682009552
1719,5.4793e-31,2590.0,0.47876447876447875,3.8695549531209365e-12,0.06676516682009552
1720,2.2838e-33,2595.0,0.47784200385356457,1.6222089837866234e-14,0.06676516682009552
1721,4.491199999999999e-28,2600.0,0.47692307692307695,3.2086259105098846e-09,0.06676516682009552
1722,5.8053e-35,2605.0,0.4760076775431862,4.171425556840307e-16,0.06676516682009552
1723,5.9447e-34,2610.0,0.47509578544061304,4.296235820869373e-15,0.06676516682009552
1724,1.1196e-37,2615.0,0.47418738049713194,8.137942490183565e-19,0.06676516682009552
1725,5.650500000000001e-29,2620.0,0.4732824427480916,4.1307356254877734e-10,0.06676516682009552
1726,3.8687e-28,2625.0,0.4723809523809524,2.8443931476382634e-09,0.06676516682009552
1727,2.8026e-45,2630.0,0.4714828897338403,2.0723590889291755e-26,0.06676516682009552
1728,3.9027e-16,2635.0,0.47058823529411764,2902.309170410156,0.06676516682009552
1729,1.175e-16,2640.0,0.4696969696969697,878.7924037460979,0.06676516682009552
1730,8.9988e-19,2645.0,0.46880907372400754,6.76859105674631,0.06676516682009552
1731,1.4295e-19,2650.0,0.4679245283018868,1.0813304393819916,0.06676516682009552
1732,1.3133e-27,2655.0,0.4670433145009416,9.99065972692325e-09,0.06676516682009552
1733,2.6068000000000003e-25,2660.0,0.46616541353383456,1.9942943976326748e-06,0.06676516682009552
1734,1.1123e-37,2665.0,0.4652908067542214,8.557565350175395e-19,0.06676516682009552
1735,0.0,2670.0,0.46441947565543074,0.0,0.06676516682009552
1736,0.0,2675.0,0.4635514018691589,0.0,0.06676516682009552
1737,0.0,2680.0,0.4626865671641791,0.0,0.06676516682009552
